Name,ParentOrg,OrgID,Address
AMES Library,Adult Migrant Education Service,7442,"255 William St., MELBOURNE VIC 3000 AUSTRALIA"
AMPCo Library,Australasian Medical Publishing Company,7079,AMPCo House 277 Clarence Street Sydney NSW 2000 AUSTRALIA
ANSTO Library,Australian Nuclear Science and Technology Organisation,6019,New Illawarra Road LUCAS HEIGHTS NSW 2234 AUSTRALIA
ANT Photo Library,D.R. Graphics Pty. Ltd.,5906,Suite 7 112a Martin Street Brighton VIC 3186 AUSTRALIA
ANTA Library,Australian National Training Authority,8794,"Level 11, 10 Eagle Street BRISBANE QLD 4001 AUSTRALIA"
ANU Archives Program,Australian National University,16375,"R G Menzies Building [ANU Bldg 2] Fellows Road, The Australian National University ACTON ACT 2601 AUSTRALIA"
ANU Campus,University Co-operative Bookshop Ltd,16165,Australian National University CANBERRA ACT 2600 AUSTRALIA
ANZ Research and Information Services,ANZ Banking Group Ltd.,2337,Level 10 100 Queen Street MELBOURNE VIC 3000 AUSTRALIA
ANZCA Institutional Repository,Australian and New Zealand College of Anaesthetists,340357,630 St Kilda Road MELBOURNE VIC 3004 AUSTRALIA
ANZCA Library,Australian and New Zealand College of Anaesthetists,6614,630 St Kilda Road MELBOURNE VIC 3004 AUSTRALIA
AOY Youth Ministry library,Archdiocesan Office for Youth,197,Thomas Carr Centre 278 Victoria Parade EAST MELBOURNE VIC 3002 AUSTRALIA
APACE Knowledge Centre,Appropriate Technology Development Group,4734,Winter House 1 Johannah Street NORTH FREMANTLE WA 6159 AUSTRALIA
APLA Library,Australian Plaintiff Lawyers Association Ltd,11392,SURRY HILLS NSW AUSTRALIA
APSCAN Library,APSCAN,8986,6/17 Chester Street CAMPERDOWN NSW 2050 AUSTRALIA
ARAFMI Library,ARAFMI Mental health Carers and Friends Association (WA),4860,"1st Floor, 275 Stirling Street PERTH WA 6000 AUSTRALIA"
ARDS Library,Aboriginal Resource and Development Services Inc.,4701,191 Stuart Hwy Parap NT 0804 AUSTRALIA
ARHS Railway Research Centre,Australian Railway Historical Society,17235,67 Renwick St REDFERN NSW 2016 AUSTRALIA
ARM Architecture library,ARM Architecture,335797,"Level 11, 522 Flinders Lane Melbourne VIC 3000 AUSTRALIA"
ARPANSA Library Services,Australian Radiation Protection and Nuclear Safety Agency,6495,ARPANSA Library Services 619 Lower Plenty Road YALLAMBIE VIC 3085 AUSTRALIA
ASCTA Library,Australian Swimming Coaches and Teachers Association,9596,"Level 1, 461 Olive Street ALBURY NSW 2640 AUSTRALIA"
ASEAN - China Business Services,,259297,40/14 Narabang Way BELROSE NSW 2085 AUSTRALIA
ASHS Resource Centre,Atherton State High School,4694,Maunds Road ATHERTON QLD 4883 AUSTRALIA
ASMS Library,Australian Science and Mathematics School,245838,Flinders University Sturt Road BEDFORD PARK NSW 5042 AUSTRALIA
ASNSW Library,Astronomical Society of New South Wales Inc.,5680,Epping Creative Centre 26 Stanley Road EPPING NSW 2121 AUSTRALIA
ASPIRE - Australian Suicide Prevention Information & Resource Exchange (CLOSED),Ministerial Council for Suicide Prevention,19777,WA AUSTRALIA
ASRI Ltd Library,Australian Space Research Institute Ltd.,11915,"ANUTECH, LEVEL 2 CNR. Barry Drive. and Daley Road ACTON ACT 2600 AUSTRALIA"
AST Library,Astronomical Society of Tasmania,6930,C/- The Hutchins School Corner of Nelson Road & Churchill Avenue SANDY BAY TAS 7000 AUSTRALIA
ASV Library,Astronomical Society of Victoria,5657,Great Melbourne Telescope (GMT) Old Melbourne Observatory MELBOURNE VIC 3000 AUSTRALIA
ASX Research & Information,Australian Securities Exchange Limited,1703,Australian Securities Exchange 20 Bridge Street SYDNEY NSW 2000 AUSTRALIA
ATBC Library,Australian Thoroughbred Breeders Club Ltd,5672,Hawlesbury Racecourse Turnstyle Building Racecourse Road CLARENDON NSW 2756 AUSTRALIA
AUSOM Libraries,Apple Users' Society of Melbourne,8112,"Ross House, 247 Flinders Lane MELBOURNE VIC 3000 AUSTRALIA"
AUSTRAC Library,AUSTRAC,211660,AUSTRAC Library PO Box 1515 WEST CHATSWOOD NSW 1515 AUSTRALIA
AWU Library,Australian Workers' Union,4587,"5th Floor, Macarthur Chambers, 201 Edward St BRISBANE QLD 4000 AUSTRALIA"
Abbey Museum Library,Abbey Museum of Art & Archaeology,6180,Old Toorbul Point Road CABOOLTURE QLD 4510 AUSTRALIA
Aberdeen Library,Upper Hunter Shire Libraries,3839,Moray Street ABERDEEN NSW 2336 AUSTRALIA
Aberfoyle Park (The Hub) Library,City of Onkaparinga Libraries,6082,Hub Lane ABERFOYLE PARK SA 5159 AUSTRALIA
Aberfoyle Park (The Hub) Toy and Sports and Recreation Equipment Library,City of Onkaparinga Libraries,339720,Hub Lane ABERFOYLE PARK SA 5159 AUSTRALIA
Aboriginal Catholic Ministry Melbourne Library,Aboriginal Catholic Ministry Melbourne,4747,434 St George's Road THORNBURY VIC 3071 AUSTRALIA
Aboriginal Education Resource Centre,Aboriginal Education Enfield ;NATSIEW,9356,5 Harewood Avenue ENFIELD SA 5085 AUSTRALIA
Aboriginal Employment Education & Development Branch,SA Department of Education and Children's Services,5702,221 Wakefield Street ADELAIDE SA 5000 AUSTRALIA
Aboriginal Resource Centre,TAFE NSW,4239,c/o Dubbo Campus Library Myall Street DUBBO NSW 2830 AUSTRALIA
"Aboriginal, Multicultural, Languages and Learning Resource Centre",,331617,Aboriginal Multicultural Languages & Learning Resource Centre 255 Torrens Rd WEST CROYDON SA 5008 AUSTRALIA
Absolutely Wild Visuals Image Library,Wild Visuals Pty Ltd,19516,133 Dowling Street WOOLLOOMOOLOO NSW 2011 AUSTRALIA
Acacia Ridge State School Library,Acacia Ridge State School,9776,Nyngam Street ACACIA RIDGE QLD 4110 AUSTRALIA
Academy BJE Library,Academy BJE,2299,56 Roscoe Street BONDI BEACH NSW 2026 AUSTRALIA
"Academy Library, UNSW Canberra",,4078,"Academy Library, Bld 13 Document Services Unit, UNSW Canberra, Northcott Drive AUSTRALIAN DEFENCE FORCE ACADEMY ACT 2610 AUSTRALIA"
Academy of Traditional Chinese Medicine Library,Academy of Traditional Chinese Medicine,9860,Academy of Traditional Chinese Medicine Australia 96-98 Union Street NORTHCOTE VIC 3070 AUSTRALIA
Activ Learning and Discover Centre,Activ,8916,71 Jarrah Road EAST VICTORIA PARK WA 6101 AUSTRALIA
Ada Purnell Library,St Columba College,1511,Stirling Hwy NEDLANDS WA 6009 AUSTRALIA
Adam Lindsay Gordon Commemorative Committee,,336201,PO Box 158 Flinders Lane Melbourne VIC AUSTRALIA
Adamstown Library,Newcastle Region Libraries,3822,Corner of Brunker Road & Victoria Street ADAMSTOWN NSW 2289 AUSTRALIA
Adelaide Campus,Alphacrucis College Limited,342120,1013 South Road MELROSE PARK SA 5039 AUSTRALIA
Adelaide Catholic Archives,Catholic Archdiocese of Adelaide,16403,39 Wakefield St Adeleide SA 5000 AUSTRALIA
Adelaide Central School of Art,,3951,7 Mulberry Rd GLENSIDE SA 5065 AUSTRALIA
Adelaide City Libraries - City Library,Adelaide City Libraries,8022,"Level 3, Rundle Place 77-91 Rundle Mall ADELAIDE SA 5000 AUSTRALIA"
Adelaide City Libraries - Hutt Street,Adelaide City Libraries,78684,235 Hutt Street ADELAIDE SA AUSTRALIA
Adelaide City Libraries - South West Community Centre,Adelaide City Libraries,339557,171 Sturt Street ADELAIDE SA 5000 AUSTRALIA
Adelaide City Libraries - Tynte Street,Adelaide City Libraries,7448,176 Tynte Street NORTH ADELAIDE SA 5006 AUSTRALIA
Adelaide College of Ministries Library,Adelaide College of Ministries Inc.,9568,20A Fourth Avenue KLEMZIG SA AUSTRALIA
Adelaide Connect,University of Adelaide,342740,University of Adelaide North Terrace ADELAIDE SA 5005 AUSTRALIA
Adelaide Gem & Mineral Club Library,Adelaide Gem and Mineral Club,6904,19 Fourth Ave St. Peters SA 5069 AUSTRALIA
Adelaide House Library,Adelaide House,4588,Todd Mall ALICE SPRINGS NT 0870 AUSTRALIA
Adelaide Library,Dentons Australia Pty Ltd,305283,Level 15 (Reception Floor) 211 Victoria Square ADELAIDE SA 5000 AUSTRALIA
Adelaide Library,Fisher Jeffries (Solicitors),4127,SGIC Building 211 Victoria Square ADELAIDE SA 5000 AUSTRALIA
Adelaide Office Library,Commonwealth Director of Public Prosecutions,6572,Level 15 100 King William St ADELAIDE SA 5000 AUSTRALIA
Adelaide Office Library,National Archives of Australia,76751,78 Angas Street ADELAIDE SA 5000 AUSTRALIA
Adelaide Registry Library,Administrative Review Tribunal,6907,"Level 2, 1 King William Street ADELAIDE SA 5000 AUSTRALIA"
Adelaide Remand Centre Library,Department of Justice Correctional Services South Australia,7759,208 Currie Street ADELAIDE SA 5000 AUSTRALIA
Adelaide River Community Library,NT Schools Palmerston and Rural Region,339091,C/- Post Office ADELAIDE RIVER NT 0846 AUSTRALIA
Adelaide River School and Community Library,Adelaide River School & Community,6910,Stuart Highway ADELAIDE RIVER NT 0846 AUSTRALIA
Adelaide Symphony Orchestra Library,Adelaide Symphony Orchestra,6983,91 Hindley St ADELAIDE SA 5000 AUSTRALIA
Adelaide Theological Library,,16214,312 Sir Donald Bradman Drive BROOKLYN PARK SA 5032 AUSTRALIA
Adelaide Theosophical Society Library,The Theosophical Society in Australia,3669,310 South Terrace ADELAIDE SA 5000 AUSTRALIA
Adelaide Women's Prison Library,Department of Justice Correctional Services South Australia,6651,Grand Junction Road NORTHFIELD SA 5085 AUSTRALIA
Adelong Library,Riverina Regional Library,8841,Tumut Street ADELONG NSW 2799 AUSTRALIA
Adelong Public School Library,Adelong Public School,4703,Gilmore Street ADELONG NSW 2729 AUSTRALIA
Adult Education Vocational Training Institute BCC Library,Bathurst Correctional Complex,8321,Cnr Browning Street and Brook Moore Avenue BATHURST NSW 2795 AUSTRALIA
Advertiser Newspapers Library,Advertiser Newspapers Ltd.,6915,The Advertiser 31 Waymouth Street ADELAIDE SA 5000 AUSTRALIA
Adyar Lending Library,The Theosophical Society in Australia,5319,"3rd Floor, 484 Kent Street SYDNEY NSW 2000 AUSTRALIA"
Aeronautical & Maritime Research Laboratory Library,Aeronautical & Maritime Research Laboratory,2687,506 Lorimer Street FISHERMENS BEND VIC 3207 AUSTRALIA
Agnes Water Library,Gladstone Regional Council Libraries,7532,Rural Transaction Centre 3 Captain Cook Drive AGNES WATER QLD 4677 AUSTRALIA
Agritechnology Pty Ltd,,332777,36 Underwood Road ORANGE NSW 2800 AUSTRALIA
Airservices Australia Library,Airservices Australia,6899,"Plaza Level, Alan Woods Building 25 Constitution Avenue CANBERRA ACT 2601 AUSTRALIA"
Alanvale Library (Launceston),TasTAFE Libraries,6186,Alanvale Road NEWNHAM TAS 7248 AUSTRALIA
Albany Creek Library,Moreton Bay Region Libraries,8730,16 Ferguson Street ALBANY CREEK QLD 4035 AUSTRALIA
Albany Creek State High School Library,Albany Creek High School,8080,Albany Forest Drive ALBANY CREEK QLD 4035 AUSTRALIA
Albany Historical Society Inc.,,9906,37 Duke Street ALBANY WA 6330 AUSTRALIA
Albany Public Library,Albany Public Library,7131,221 York Street ALBANY WA 6330 AUSTRALIA
Albany Regional Family History Society Inc. Library,Albany Regional Family History Society Inc,6339,"""The Chalet"" off Chipana Drive Little Grove ALBANY WA 6331 AUSTRALIA"
Albert Park Library,Port Phillip Library Service,3674,cnr Montague Street and Dundas Place ALBERT PARK VIC 3206 AUSTRALIA
Albert Park-South Melbourne Rowing Club,,338338,Aughtie Drive Albert Park Lake ALBERT PARK VIC 3206 AUSTRALIA
Albion Park Library,Shellharbour City Council,8888,Russell Street ALBION PARK NSW 2527 AUSTRALIA
Albion Street Centre Library,Albion Street Centre,9720,150 - 154 Albion Street SURRY HILLS NSW 2010 AUSTRALIA
Albury Campus Library,TAFE NSW,5857,Poole Street ALBURY NSW 2640 AUSTRALIA
Albury High School Library,Albury High School,7801,Kiewa Street ALBURY NSW 2640 AUSTRALIA
Albury Library Museum Digital Collections,Albury LibraryMuseum Digital Collections,340602,540 Kiewa Street ALBURY NSW AUSTRALIA
Albury LibraryMuseum,AlburyCity libraries,326097,540 Kiewa Street ALBURY NSW 2640 AUSTRALIA
Albury LibraryMuseum Digital Collections,Albury LibraryMuseum,340600,540 Kiewa Street ALBURY NSW 2640 AUSTRALIA
Albury Public School Library,Albury Public School,6259,Smollett Street ALBURY NSW 2640 AUSTRALIA
Albury Regional Art Gallery Library,Albury Regional Art Gallery,3944,546 Dean Street ALBURY NSW 2640 AUSTRALIA
Albury Wodonga Health,,9524,201 Borella Road ALBURY NSW 2640 AUSTRALIA
Albury-Wodonga Campus Library,Charles Sturt University,7287,Building 753 Elizabeth Mitchell Drive THURGOONA NSW 2640 AUSTRALIA
Albury-Wodonga Development Corporation Library,Albury-Wodonga Development Corporation,9525,"Suite 2, 620 Macauley Street ALBURY NSW 2640 AUSTRALIA"
AlburyCity libraries,,334117,553 Kiewa Street PO Box 323 Albury NSW 2640 AUSTRALIA
Alcohol and Drug Foundation Library,Alcohol and Drug Foundation,9806,Level 12 607 Bourke Street MELBOURNE VIC 3000 AUSTRALIA
Aldinga Library,City of Onkaparinga Libraries,6074,11 Central Way ALDINGA BEACH SA 5173 AUSTRALIA
Aldinga Sport and Recreation Equipment Library,City of Onkaparinga Libraries,339717,11 Central Way ALDINGA BEACH SA 5173 AUSTRALIA
Alekarenge School,Alekarenge School,6921,Ali Curung VIA ALICE SPRINGS NT 0872 AUSTRALIA
Alex McDonald Memorial Library,Queensland Council of Unions,8911,"Level 5, 16 Peel Street SOUTH BRISBANE QLD 4101 AUSTRALIA"
Alexander Machonochie Centre Library,Justice and Community Safety Directorate,327477,10400 Monaro Highway Hume ACT 2640 AUSTRALIA
Alexandra Library,Murrindindi Library Service,7361,Grant Street ALEXANDRA VIC 3714 AUSTRALIA
Alexandra Timber Tramway & Museum,,336180,17 Station Street Alexandra VIC AUSTRALIA
Alexandria Community Library,Alexandria Community,6922,Alexandria Station School (CMB) MT ISA QLD 4825 AUSTRALIA
Alfred Hospital Nurses League - Nursing Archives,,336112,"Old Monash Medical School Building, Ground Floor Alfred Hospital 55 Commercial Road Prahran VIC AUSTRALIA"
Alice Paton Library,University of Melbourne - St Hilda's College,3749,19-25 College Crescent PARKVILLE VIC 3052 AUSTRALIA
Alice Springs Health Library,NT Department of Health,5694,Alice Springs Hospital Gap Road ALICE SPRINGS NT 0870 AUSTRALIA
Alice Springs Office,National Trust of Australia (Northen Territory),6696,Old Hartley Street School 39-41 Hartley Street ALICE SPRINGS NT 0870 AUSTRALIA
Alice Springs Public Library,Alice Springs Town Council,6612,Corner of Gregory & Leichhardt Terraces ALICE SPRINGS NT 0870 AUSTRALIA
Alice Springs Resource Collection,NT AIDS & Hepatitis C Council,6220,14 Railway Terrace ALICE SPRINGS NT 0870 AUSTRALIA
Alice Springs School of the Air Library,Alice Springs School of the Air,7769,Head Street Braitling ALICE SPRINGS NT 0871 AUSTRALIA
Alinjarra Primary School Library,Alinjarra Primary School,9009,Northumberland Avenue ALEXANDER HEIGHTS WA 6064 AUSTRALIA
All Access,,342440,84-86 Nicholson Street ABBOTSFORD VIC 3067 AUSTRALIA
All Hallows' School Library,All Hallows' School,4544,547 Ann Street BRISBANE QLD 4000 AUSTRALIA
All Saints Anglican School,,12091,Highfield Dr Merrimac QLD 4226 AUSTRALIA
All Saints Library,All Saints Catholic Boys College;All Saints Catholic Girls College,6926,53 Bigge Street LIVERPOOL NSW 2170 AUSTRALIA
All Saints' Greek Orthodox Grammar School Library,All Saints' Greek Orthodox Grammar School,6924,"31 Forsyth Street, South BELMORE NSW 2192 AUSTRALIA"
Allansford Cheese World Museum,,336100,5330 Great Ocean Road Allansford VIC AUSTRALIA
Allen Jack + Cottier Architects Library,Allen Jack & Cottier,9523,59 Buckingham Street SURRY HILLS NSW 2010 AUSTRALIA
Alliance Francaise Library,Alliance Francaise de Melbourne,2318,17 Robe Street ST KILDA VIC 3182 AUSTRALIA
Alliance Francaise Library and Resource Centre,Alliance Francaise,9592,75 Broadway NEDLANDS WA 6009 AUSTRALIA
Allora Library,Southern Downs Regional Council,7536,78 Herbert Street ALLORA QLD 4362 AUSTRALIA
Allport Library and Museum of Fine Arts,Libraries Tasmania,9044,"Allport Library & Museum of Fine Arts Ground Floor, 91 Murray Street HOBART TAS 7000 AUSTRALIA"
Alpha Public Library,Barcaldine Regional Council,7452,Tennyson Street ALPHA QLD 4724 AUSTRALIA
Alstonville Library,Richmond-Tweed Regional Library,5163,Alstonville Leisure & Entertainment Centre Commercial Road ALSTONVILLE NSW 2477 AUSTRALIA
Alternative-Format Publications Library,NextSense,406,361-365 North Rocks Rd NORTH ROCKS NSW 2151 AUSTRALIA
Altona Historical Society Library,Altona Historical Society,4586,The Homestead 128 Queen Street ALTONA VIC 3018 AUSTRALIA
Altona Library,Hobsons Bay Libraries,5388,123 Queen Street ALTONA VIC 3018 AUSTRALIA
Altona Meadows Library and Learning Centre,Hobsons Bay Libraries,5160,"2 Newham Way, Central Square Shopping Centre ALTONA MEADOWS VIC 3025 AUSTRALIA"
Alyangula Joint Use Library,Alyangula Area School; GEMCO ;Northern Territory Library,9363,"Alyangula Area School Alyangula, Flinders Street GROOTE EYLANDT NT 0885 AUSTRALIA"
Alzheimer's Australia SA Resource Centre,Dementia Australia SA,6223,27 Conyngham Street GLENSIDE SA 5065 AUSTRALIA
Alzheimer's WA Library,,136000,9 Bedbrook Place SHENTON PARK WA 6008 AUSTRALIA
American River Historic Collection,,343102,PO BOX 12 AMERICAN RIVER SA 5221 AUSTRALIA
Amherst Village Library,City of Gosnells Libraries,326157,2 Holmes Street SOUTHERN RIVER WA 6110 AUSTRALIA
Amway Australia Library,Amway Australia Pty Ltd.,5649,Head Office 46 Carrington Road CASTLE HILL NSW 2154 AUSTRALIA
Anaesthesia & Pain Management Library,Royal North Shore Hospital,16427,Reserve Road ST LEONARDS NSW 2065 AUSTRALIA
Analysis & Policy Observatory,,329418,APO 400 Burwood Rd Hawthorn VIC 3122 AUSTRALIA
Ananda Marga River School Library,Ananda Marga River School,6925,251 Bridge Creek Road MALENY QLD 4552 AUSTRALIA
Andamooka Library,Andamooka School Community,7450,Government Road ANDAMOOKA SA 5722 AUSTRALIA
Anderson Rice Library,Anderson Rice,5322,"Level 10, 555 Lonsdale Street MELBOURNE VIC 3000 AUSTRALIA"
Andersons Solicitors' Library,Anderson Rice,5656,185 Victoria Square ADELAIDE SA 5000 AUSTRALIA
Andrew Ross Museum,,336194,Main Rd Kangaroo Ground Opposite General Store Kangaroo Ground VIC AUSTRALIA
"Anglican Board of Mission, Needham Memorial Library",Anglican Board of Mission - Australia,16169,91 Bathurst St Sydney NSW 2000 AUSTRALIA
Anglican Education Commission Library,Anglican Education Commission,5677,"2nd Floor, St Andrew's House SYDNEY SQUARE NSW 2000 AUSTRALIA"
"Anglican Resource Centre, Diocese of Adelaide","Ministry Development Council, Anglican Diocese of Adelaide",8541,34 Lipsett Terrace BROOKLYN PARK SA 5032 AUSTRALIA
Angliss Hospital Library,Eastern Health - Angliss Hospital,17635,27 Talaskia Road UPPER FERNTREE GULLY VIC 3156 AUSTRALIA
Anglo-Australian Observatory Library,Anglo-Australian Observatory,272,167 Vimiera Road EASTWOOD NSW 2122 AUSTRALIA
Angurugu Community Library,Angurugu Community Government Council,4969,Angurugu GROOTE EYLANDT NT 0822 AUSTRALIA
Annandale North Public School Library,Annandale North Public School,4705,206 Johnston St ANNANDALE NSW 2038 AUSTRALIA
Annerley Library,Brisbane City Council Library Service,9399,450 Ipswich Road ANNERLEY QLD 4103 AUSTRALIA
Anselm O'Brien Library,Santa Sabina College,167818,90 The Boulevarde STRATHFIELD NSW 2135 AUSTRALIA
Anthropology Archives,South Australian Museum,16404,North Tce ADELAIDE SA 5000 AUSTRALIA
Anti-Discrimination Commission Queensland Library,Anti-Discrimination Commission Queensland,7151,53 Albert Street BRISBANE QLD 4000 AUSTRALIA
Anyinginyi Congress Aboriginal Corporation Library,Anyinginyi Congress Aboriginal Corporation,1885,261 Schmidt Street TENNANT CREEK NT 0860 AUSTRALIA
Apollo Bay,Geelong Regional Library Corporation,248798,Marrar Woorn Neighbourhood House 6 Pengilley Ave Apollo Bay VIC 3233 AUSTRALIA
Aramac Shire Council Library,Aramac Shire Council Libraries,7461,Gordon Street ARAMAC QLD 4726 AUSTRALIA
Arana Hills Library,Moreton Bay Region Libraries,8729,63 Cobbity Crescent ARANA HILLS QLD 4054 AUSTRALIA
Aranda Primary School Library,Aranda Primary School,10810,Banambila Street ARANDA ACT 2614 AUSTRALIA
Ararat Gallery TAMA,,342040,82 Vincent Street ARARAT VIC 3377 AUSTRALIA
Ararat Library,Central Highlands Libraries,3587,Cnr Barkly & Queen Streets ARARAT VIC 3377 AUSTRALIA
Ararat and District Ark Toy Library,,9468,Girdle Street ARARAT VIC 3377 AUSTRALIA
"Architecture, Building & Planning Library",The University of Melbourne Library,4736,Building 133 Masson Road UNIVERSITY OF MELBOURNE VIC 3010 AUSTRALIA
Archival Records,Powerhouse Museum,325897,84 Mary Ann Street Ultimo NSW 2007 AUSTRALIA
Archive of Australian Judaica,The University of Sydney,16399,c/- Rare Books and Special Collections Fisher Library F03 University of Sydney NSW 2006 AUSTRALIA
